2026-09-02 21:36:16 | ERROR | gestor-practicas | No se encontró el archivo usuarios.json
2026-09-02 21:39:52 | INFO | gestor-practicas | ✓ Inicio de sesión exitoso.
2026-09-02 21:45:30 | INFO | gestor-practicas | ✓ Inicio de sesión exitoso.
2026-09-02 21:46:04 | INFO | gestor-practicas | ✓ Inicio de sesión exitoso.
2026-09-02 21:49:12 | INFO | gestor-practicas | ✅ Inicio de sesión exitoso.
2026-09-02 22:01:48 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-02 22:05:40 | INFO | gestor-practicas | ✅ Inicio de sesión exitoso.
2026-09-02 22:07:28 | INFO | gestor-practicas | ✅ Inicio de sesión exitoso.
2026-09-03 17:51:38 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-03 17:52:08 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 11:57:52 | ERROR | gestor-practicas | ❌ Error al leer usuarios.json
2026-09-11 11:57:52 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 11:57:52 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 11:58:22 | ERROR | gestor-practicas | ❌ Error al leer usuarios.json
2026-09-11 11:58:22 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 11:58:22 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 11:58:42 | ERROR | gestor-practicas | ❌ Error al leer usuarios.json
2026-09-11 11:58:42 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 11:58:42 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 12:02:02 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 12:02:03 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 12:03:12 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 12:03:12 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 12:04:28 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 12:04:28 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 12:10:30 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 12:10:30 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 12:11:27 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 12:11:27 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 12:13:00 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 12:13:00 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 12:14:04 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 12:14:04 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 12:15:21 | ERROR | gestor-practicas | ❌ Credenciales inválidas
2026-09-11 12:15:21 | ERROR | gestor-practicas | ❌ Usuario o contraseña incorrectos.
2026-09-11 12:18:50 | INFO | gestor-practicas | ✅ Inicio de sesión exitoso. Bienvenido 1234
2026-09-11 12:19:06 | INFO | gestor-practicas | ✅ Inicio de sesión exitoso. Bienvenido 1234
